date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:35:39	22570/22570	---M--	200	added ('OK')	image/gif	date:Mon,%2028%20Dec%202020%2017:08:17%20GMT	https://geokc-mn.org/storage/2020/11/cropped-textflower-1-192x192.gif	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/storage/2020/11/cropped-textflower-1-192x192.gif	(from https://geokc-mn.org/)
03:35:39	20475/20475	---M--	200	added ('OK')	image/gif	date:Mon,%2028%20Dec%202020%2017:08:17%20GMT	https://geokc-mn.org/storage/2020/11/cropped-textflower-1-180x180.gif	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/storage/2020/11/cropped-textflower-1-180x180.gif	(from https://geokc-mn.org/)
03:35:41	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Mar%202024%2018:35:40%20GMT	http://geokc-mn.org/?wordfence_lh=1&hid=397EC76A5646C2DCCC633FA9D0E43390	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/indexca59.html	(from https://geokc-mn.org/)
03:35:41	44472/44472	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Dec%202020%2018:41:57%20GMT	https://geokc-mn.org/storage/2020/11/home-border-top-1-300x125.png	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/storage/2020/11/home-border-top-1-300x125.png	(from https://geokc-mn.org/)
03:35:42	375930/375930	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Jan%202021%2017:59:45%20GMT	https://geokc-mn.org/storage/2021/01/210106-IROIheader5.png	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/storage/2021/01/210106-IROIheader5.png	(from https://geokc-mn.org/)
03:35:42	80682/80682	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:42%20GMT	https://geokc-mn.org/about-us/	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/about-us/index.html	(from https://geokc-mn.org/)
03:35:44	81603/81603	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:43%20GMT	https://geokc-mn.org/introduction/	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/introduction/index.html	(from https://geokc-mn.org/)
03:35:46	79369/79369	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:44%20GMT	https://geokc-mn.org/geokc-annual-giving	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/geokc-annual-giving.html	(from https://geokc-mn.org/)
03:35:46	81868/81868	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:44%20GMT	https://geokc-mn.org/history/	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/history/index.html	(from https://geokc-mn.org/)
03:35:47	80529/80529	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:45%20GMT	https://geokc-mn.org/goal/	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/goal/index.html	(from https://geokc-mn.org/)
03:35:47	80369/80369	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:46%20GMT	https://geokc-mn.org/mission/	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/mission/index.html	(from https://geokc-mn.org/)
03:35:50	100362/100362	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:48%20GMT	https://geokc-mn.org/online-donation-form	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/online-donation-form.html	(from https://geokc-mn.org/)
03:35:51	80792/80792	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:49%20GMT	https://geokc-mn.org/gurus-and-staff/	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/gurus-and-staff/index.html	(from https://geokc-mn.org/)
03:35:51	78379/78379	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:49%20GMT	https://geokc-mn.org/join-us/	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/join-us/index.html	(from https://geokc-mn.org/)
03:35:51	83243/83243	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:49%20GMT	https://geokc-mn.org/gurus-and-staff-positions/	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/gurus-and-staff-positions/index.html	(from https://geokc-mn.org/)
03:35:53	89224/89224	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:52%20GMT	https://geokc-mn.org/geokc-spiritual-membership/	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/geokc-spiritual-membership/index.html	(from https://geokc-mn.org/)
03:35:54	80387/80387	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:53%20GMT	https://geokc-mn.org/geokc-board-openings/	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/geokc-board-openings/index.html	(from https://geokc-mn.org/)
03:35:56	80918/80918	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:53%20GMT	https://geokc-mn.org/geokc-capital-campaign-donation	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/geokc-capital-campaign-donation.html	(from https://geokc-mn.org/)
03:35:56	88701/88701	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2018:35:54%20GMT	https://geokc-mn.org/volunteers/	C:/My%20Web%20Sites/GEOKC/geokc-mn.org/volunteers/index.html	(from https://geokc-mn.org/)
